Permeability,Porosity,Salinity,Sgr,Depth,Thickness,InjectionRate,Time,RTI,STI
10,0.12,155000,0.5,1400,10,48840,10,0.262,0.0863
10,0.12,155000,0.5,1400,10,48840,20,0.3656,0.0959
10,0.12,155000,0.5,1400,10,48840,30,0.3655,0.0985
10,0.12,155000,0.5,1400,10,48840,40,0.367,0.1012
10,0.12,155000,0.5,1400,10,48840,50,0.376,0.1019
10,0.12,155000,0.5,1400,10,48840,60,0.3852,0.1022
10,0.12,155000,0.5,1400,10,48840,70,0.3923,0.1026
10,0.12,155000,0.5,1400,10,48840,80,0.3984,0.1031
10,0.12,155000,0.5,1400,10,48840,90,0.4038,0.1036
10,0.12,155000,0.5,1400,10,48840,100,0.409,0.1038
10,0.12,155000,0.5,1400,10,48840,110,0.4142,0.1043
10,0.12,155000,0.5,1400,10,48840,120,0.4192,0.1046
10,0.12,155000,0.5,1400,10,48840,130,0.4242,0.1048
10,0.12,155000,0.5,1400,10,48840,140,0.4289,0.105
10,0.12,155000,0.5,1400,10,48840,150,0.4337,0.1053
10,0.12,155000,0.5,1400,10,48840,160,0.4382,0.1055
10,0.12,155000,0.5,1400,10,48840,170,0.4425,0.1058
10,0.12,155000,0.5,1400,10,48840,180,0.4464,0.1058
10,0.12,155000,0.5,1400,10,48840,190,0.4501,0.106
10,0.12,155000,0.5,1400,10,48840,200,0.4538,0.106
10,0.12,155000,0.5,1400,10,48840,210,0.4573,0.1062
10,0.12,155000,0.5,1400,10,48840,220,0.4606,0.1065
10,0.12,155000,0.5,1400,10,48840,230,0.4639,0.1065
10,0.12,155000,0.5,1400,10,48840,240,0.4671,0.1067
10,0.12,155000,0.5,1400,10,48840,250,0.4701,0.107
10,0.12,155000,0.5,1400,10,48840,260,0.473,0.1072
10,0.12,155000,0.5,1400,10,48840,270,0.4756,0.1074
10,0.12,155000,0.5,1400,10,48840,280,0.4782,0.1074
10,0.12,155000,0.5,1400,10,48840,290,0.4808,0.1077
10,0.12,155000,0.5,1400,10,48840,300,0.4833,0.1079
105,0.2,68000,0.41,920,200,42735,10,0.327,0.2328
105,0.2,68000,0.41,920,200,42735,20,0.6573,0.2834
105,0.2,68000,0.41,920,200,42735,30,0.6639,0.2834
105,0.2,68000,0.41,920,200,42735,40,0.6689,0.2834
105,0.2,68000,0.41,920,200,42735,50,0.6727,0.2834
105,0.2,68000,0.41,920,200,42735,60,0.6755,0.2834
105,0.2,68000,0.41,920,200,42735,70,0.6776,0.2834
105,0.2,68000,0.41,920,200,42735,80,0.679,0.2834
105,0.2,68000,0.41,920,200,42735,90,0.68,0.2834
105,0.2,68000,0.41,920,200,42735,100,0.6808,0.2834
105,0.2,68000,0.41,920,200,42735,110,0.6814,0.2834
105,0.2,68000,0.41,920,200,42735,120,0.6818,0.2935
